Region,SalesRep,Month,CustomerRating,ComputerSales,AirConditionerSales,FridgeSales,TelevisionSales,Profit,CustomerSegment,SalesTargetAchieved,ComputerProfit,AirConditionerProfit,FridgeProfit,TelevisionProfit,ComputerDiscount%,AirConditionerDiscount%,FridgeDiscount%,TelevisionDiscount%
East,Charlie,Mar,AK-AK,,999999,53,48,400038.1,Commercial,Yes,,399999.6,26.5,12,27,16,19,3
West,Charlie,Mar,2,183,29,11,88,94,Commercial,No,54.9,11.6,5.5,22,24,8,8,13
North,Charlie,Mar,2,77,135,78,62,131.6,Residential,Yes,23.1,54,39,15.5,15,11,4,8
East,Bob,Jan,1,34,13,4,44,28.4,Residential,Yes,10.2,5.2,2,11,8,21,5,4
East,Diana,Mar,4,188,38,7,19,79.85,Residential,No,56.4,15.2,3.5,4.75,10,18,2,11
West,Eve,Feb,2,150,47,64,59,110.55,Commercial,No,45,18.8,32,14.75,5,19,5,10
North,Alice,Mar,,53,78,71,8,84.6,Residential,Yes,15.9,31.2,35.5,2,26,11,7,9
North,Diana,Feb,2,172,98,54,55,131.55,Corporate,Yes,51.6,39.2,27,13.75,16,21,5,12
East,Charlie,Jan,2,64,26,88,108,100.6,Residential,No,19.2,10.4,44,27,26,5,15,5
South,Diana,Feb,4,146,74,7,47,88.65,Commercial,No,43.8,29.6,3.5,11.75,28,11,15,2
East,Eve,Feb,5,139,134,61,2,126.3,Corporate,No,41.7,53.6,30.5,0.5,11,8,2,4
East,Alice,Feb,3,198,98,70,94,157.1,Commercial,Yes,59.4,39.2,35,23.5,21,19,16,13
East,Alice,Jan,3,50,36,11,94,58.4,Corporate,No,15,14.4,5.5,23.5,7,4,5,11
East,Eve,Mar,,181,110,95,113,174.05,Corporate,Yes,54.3,44,47.5,28.25,15,20,5,12
West,Eve,Mar,1,73,148,24,39,102.85,Residential,No,21.9,59.2,12,9.75,4,2,18,12
